GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PDFsam core,org.pdfsam.core.support,XmlUtils,0,14,0,4,0,5,0,3,0,1
PDFsam core,org.pdfsam.core.support,EncryptionUtils,10,64,0,4,4,15,0,5,0,3
PDFsam core,org.pdfsam.core.io,Choosers.FileChooserHolder,5,0,0,0,1,0,1,0,1,0
PDFsam core,org.pdfsam.core.io,DirectoryChooserWithWorkingDirectory,88,0,4,0,15,0,9,0,7,0
PDFsam core,org.pdfsam.core.io,Choosers.DirectoryChooserHolder,5,0,0,0,1,0,1,0,1,0
PDFsam core,org.pdfsam.core.io,Choosers,16,0,0,0,6,0,2,0,2,0
PDFsam core,org.pdfsam.core.io,FileChooserWithWorkingDirectory,189,0,10,0,35,0,23,0,18,0
PDFsam core,org.pdfsam.core,BrandableProperty,186,0,0,0,29,0,2,0,2,0
PDFsam core,org.pdfsam.core.support.params,ConversionUtils,63,156,3,13,8,29,4,10,1,5
PDFsam core,org.pdfsam.core.support.params,SinglePdfSourceMultipleOutputParametersBuilder,24,0,0,0,10,0,7,0,7,0
PDFsam core,org.pdfsam.core.support.params,MultiplePdfSourceMultipleOutputParametersBuilder,39,0,2,0,12,0,9,0,8,0
PDFsam core,org.pdfsam.core.support.params,AbstractParametersBuilder,13,0,0,0,5,0,3,0,3,0
PDFsam core,org.pdfsam.core.support.params,SplitParametersBuilder,18,0,2,0,7,0,4,0,3,0
PDFsam core,org.pdfsam.core.support.params,AbstractPdfOutputParametersBuilder,27,0,0,0,11,0,7,0,7,0
PDFsam core,org.pdfsam.core.support.io,ObjectCollectionWriter,26,90,0,4,4,21,0,8,0,6
PDFsam core,org.pdfsam.core.support.validation,PositiveIntegerValidator,0,13,0,4,0,2,0,4,0,2
PDFsam core,org.pdfsam.core.support.validation,Validators,0,95,0,8,0,16,0,23,0,19
PDFsam core,org.pdfsam.core.support.validation,RegexValidator,0,23,0,4,0,5,0,4,0,2
PDFsam core,org.pdfsam.core.support.validation,FileValidator,0,18,0,4,0,2,0,4,0,2
PDFsam core,org.pdfsam.core.support.validation,FileTypeValidator,0,31,1,5,0,7,1,4,0,2
PDFsam core,org.pdfsam.core.support.validation,ContainedIntegerValidator,0,28,0,0,0,7,0,2,0,2
PDFsam core,org.pdfsam.core.support.validation,PositiveIntRangeStringValidator,1,46,2,8,0,11,2,5,0,2
PDFsam core,org.pdfsam.core.support.validation,PositiveIntegerStringValidator,0,13,0,2,0,4,0,3,0,2
PDFsam core,org.pdfsam.core.context,StringPersistentProperty,4,111,0,0,0,20,2,11,2,11
PDFsam core,org.pdfsam.core.context,BooleanPersistentProperty,2,178,0,0,0,22,1,16,1,16
PDFsam core,org.pdfsam.core.context,ApplicationRuntimeState,63,116,2,4,17,27,9,15,8,13
PDFsam core,org.pdfsam.core.context,IntegerPersistentProperty,0,28,0,0,0,7,0,5,0,5
PDFsam core,org.pdfsam.core.context,ApplicationContext,176,114,5,1,29,28,21,11,18,11
PDFsam core,org.pdfsam.core.context,PersistentPropertyChange,0,9,0,0,0,1,0,1,0,1
PDFsam core,org.pdfsam.core.context,ApplicationPersistentSettings,5,282,3,7,2,71,3,20,0,18
