GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PDFsam model,org.pdfsam.model.ui,SetActiveContentItemRequest,7,2,0,0,2,1,0,1,0,1
PDFsam model,org.pdfsam.model.ui,StageMode,7,15,2,0,3,3,2,1,1,1
PDFsam model,org.pdfsam.model.ui,RemovePdfVersionConstraintEvent,7,2,0,0,2,1,0,1,0,1
PDFsam model,org.pdfsam.model.ui,SetDestinationRequest,0,51,0,0,0,5,0,3,0,3
PDFsam model,org.pdfsam.model.ui,SetLatestStageStatusRequest,8,2,0,0,2,1,0,1,0,1
PDFsam model,org.pdfsam.model.ui,ComboItem,58,0,4,0,15,0,10,0,8,0
PDFsam model,org.pdfsam.model.ui,HideStageRequest,5,0,0,0,1,0,1,0,1,0
PDFsam model,org.pdfsam.model.ui,ShowStageRequest,5,0,0,0,1,0,1,0,1,0
PDFsam model,org.pdfsam.model.ui,ShowPdfDescriptorRequest,7,2,0,0,2,1,0,1,0,1
PDFsam model,org.pdfsam.model.ui,AddPdfVersionConstraintEvent,7,2,0,0,2,1,0,1,0,1
PDFsam model,org.pdfsam.model.ui,ChangedSelectedPdfVersionEvent,6,0,0,0,1,0,1,0,1,0
PDFsam model,org.pdfsam.model.ui,InputPdfArgumentsLoadRequest,0,15,0,2,0,2,0,3,0,2
PDFsam model,org.pdfsam.model.ui,ShowLogMessagesRequest,3,0,0,0,1,0,1,0,1,0
PDFsam model,org.pdfsam.model.ui,ContentItem,2,0,0,0,1,0,1,0,1,0
PDFsam model,org.pdfsam.model.ui,StageMode.new StageMode() {...},0,9,0,0,0,3,0,2,0,2
PDFsam model,org.pdfsam.model.ui,StageMode.new StageMode() {...},0,6,0,0,0,2,0,2,0,2
PDFsam model,org.pdfsam.model.ui,StageStatus,0,38,0,0,0,6,0,3,0,3
PDFsam model,org.pdfsam.model.ui,SetTitleRequest,7,0,0,0,3,0,1,0,1,0
PDFsam model,org.pdfsam.model.ui,DefaultPdfVersionComboItem,33,0,2,0,5,0,4,0,3,0
PDFsam model,org.pdfsam.model.ui,NonExistingOutputDirectoryEvent,9,0,0,0,3,0,1,0,1,0
PDFsam model,org.pdfsam.model.ui.workspace,LoadWorkspaceRequest,7,2,0,0,2,1,0,1,0,1
PDFsam model,org.pdfsam.model.ui.workspace,WorkspaceLoadedEvent,7,2,0,0,2,1,0,1,0,1
PDFsam model,org.pdfsam.model.ui.workspace,WorkspaceCloseEvent,3,0,0,0,1,0,1,0,1,0
PDFsam model,org.pdfsam.model.ui.workspace,SaveWorkspaceRequest,0,34,0,0,0,8,0,4,0,4
PDFsam model,org.pdfsam.model.ui.workspace,Workspace,7,61,0,8,1,12,1,8,1,4
PDFsam model,org.pdfsam.model.ui.workspace,LoadWorkspaceResponse,0,27,0,0,0,6,0,3,0,3
PDFsam model,org.pdfsam.model.ui.workspace,ConfirmSaveWorkspaceRequest,3,0,0,0,1,0,1,0,1,0
PDFsam model,org.pdfsam.model.lifecycle,CleanupRequest,3,0,0,0,1,0,1,0,1,0
PDFsam model,org.pdfsam.model.lifecycle,StartupEvent,3,0,0,0,1,0,1,0,1,0
PDFsam model,org.pdfsam.model.lifecycle,ShutdownEvent,3,0,0,0,1,0,1,0,1,0
PDFsam model,org.pdfsam.model.pdf,PdfDocumentDescriptor,42,154,3,3,13,36,10,18,8,17
PDFsam model,org.pdfsam.model.pdf,PdfLoadRequest,0,18,0,0,0,5,0,3,0,3
PDFsam model,org.pdfsam.model.pdf,PdfDescriptorLoadingStatus,0,195,0,2,0,33,0,12,0,11
PDFsam model,org.pdfsam.model.pdf,PdfFilesListLoadRequest,0,10,0,0,0,4,0,1,0,1
PDFsam model,org.pdfsam.model.update,UpdateAvailableEvent,0,9,0,0,0,3,0,1,0,1
PDFsam model,org.pdfsam.model.update,UpdateCheckRequest,6,0,0,0,1,0,1,0,1,0
PDFsam model,org.pdfsam.model.update,NoUpdateAvailable,3,0,0,0,1,0,1,0,1,0
PDFsam model,org.pdfsam.model.ui.dnd,FilesDroppedEvent,15,0,0,0,3,0,1,0,1,0
PDFsam model,org.pdfsam.model.premium,PremiumProduct,12,38,0,0,2,8,2,2,2,2
PDFsam model,org.pdfsam.model.premium,PremiumToolsResponse,7,2,0,0,2,1,0,1,0,1
PDFsam model,org.pdfsam.model.premium,FetchPremiumModulesRequest,5,0,0,0,1,0,1,0,1,0
PDFsam model,org.pdfsam.model.premium,PremiumTool,0,34,0,0,0,6,0,3,0,3
PDFsam model,org.pdfsam.model.task,PdfRotationInput,52,82,4,2,8,13,4,7,2,6
PDFsam model,org.pdfsam.model.task,BulkRotateParameters,15,72,0,4,6,13,4,7,4,5
PDFsam model,org.pdfsam.model.io,FileType,183,0,0,0,14,0,5,0,5,0
PDFsam model,org.pdfsam.model.io,NativeOpenUrlRequest,0,9,0,0,0,3,0,1,0,1
PDFsam model,org.pdfsam.model.io,NativeOpenFileRequest,0,9,0,0,0,3,0,1,0,1
PDFsam model,org.pdfsam.model.io,OpenType,15,0,0,0,3,0,1,0,1,0
PDFsam model,org.pdfsam.model.log,ClearLogRequest,3,0,0,0,1,0,1,0,1,0
PDFsam model,org.pdfsam.model.log,SaveLogRequest,3,0,0,0,1,0,1,0,1,0
PDFsam model,org.pdfsam.model.tool,ToolDescriptor,12,54,2,0,1,14,3,3,2,3
PDFsam model,org.pdfsam.model.tool,RequiredPdfData,15,0,0,0,3,0,1,0,1,0
PDFsam model,org.pdfsam.model.tool,ToolCategory,6,64,0,0,2,10,2,2,2,2
PDFsam model,org.pdfsam.model.tool,ClearToolRequest,15,0,0,0,3,0,1,0,1,0
PDFsam model,org.pdfsam.model.tool,TaskExecutionRequest,0,15,0,0,0,4,0,1,0,1
PDFsam model,org.pdfsam.model.tool,ToolDescriptorBuilder,10,53,0,0,4,15,2,8,2,8
PDFsam model,org.pdfsam.model.tool,ToolPriority,0,35,0,0,0,8,0,3,0,3
PDFsam model,org.pdfsam.model.tool,Tool,7,0,0,0,1,0,1,0,1,0
PDFsam model,org.pdfsam.model.tool,BaseToolBound,3,9,0,0,1,4,1,1,1,1
PDFsam model,org.pdfsam.model.tool,ToolInputOutputType,0,21,0,0,0,4,0,1,0,1
PDFsam model,org.pdfsam.model.tool,ToolIdNamePair,17,0,0,0,3,0,2,0,2,0
PDFsam model,org.pdfsam.model.news,FetchLatestNewsRequest,5,0,0,0,1,0,1,0,1,0
PDFsam model,org.pdfsam.model.news,NewImportantNewsEvent,7,2,0,0,2,1,0,1,0,1
PDFsam model,org.pdfsam.model.news,ToggleNewsPanelRequest,5,0,0,0,1,0,1,0,1,0
PDFsam model,org.pdfsam.model.news,HideNewsPanelRequest,5,0,0,0,1,0,1,0,1,0
PDFsam model,org.pdfsam.model.news,NewsData,32,0,0,0,3,0,2,0,2,0
PDFsam model,org.pdfsam.model.news,LatestNewsResponse,10,2,0,0,2,1,0,1,0,1
PDFsam model,org.pdfsam.model,ObservableAtomicReference,0,23,0,0,0,8,0,3,0,3
